Progname Runtime Size Blocksize Iterations Threads Gflops startTime endTime Stddev
dpotrf_taskdep simulation 8192 256 1 44 525.052 0 0 0
dpotrf_taskdep simulation 8192 256 1 45 531.086 0 0 0
dpotrf_taskdep simulation 8192 256 1 46 527.322 0 0 0
dpotrf_taskdep simulation 8192 256 1 47 548.155 0 0 0
dpotrf_taskdep simulation 8192 256 1 48 549.405 0 0 0
dpotrf_taskdep simulation 8192 256 1 49 566.387 0 0 0
dpotrf_taskdep simulation 8192 256 1 50 576.297 0 0 0
dpotrf_taskdep simulation 8192 256 1 51 588.886 0 0 0
dpotrf_taskdep simulation 8192 256 1 52 598.937 0 0 0
dpotrf_taskdep simulation 8192 256 1 53 600.583 0 0 0
dpotrf_taskdep simulation 8192 256 1 54 607.172 0 0 0
dpotrf_taskdep simulation 8192 256 1 55 616.921 0 0 0
dpotrf_taskdep simulation 8192 256 1 56 622.283 0 0 0
dpotrf_taskdep simulation 8192 256 1 57 639.877 0 0 0
dpotrf_taskdep simulation 8192 256 1 58 655.435 0 0 0
dpotrf_taskdep simulation 8192 256 1 59 656.498 0 0 0
dpotrf_taskdep simulation 8192 256 1 60 671.181 0 0 0
dpotrf_taskdep simulation 8192 256 1 61 673.507 0 0 0
dpotrf_taskdep simulation 8192 256 1 62 686.397 0 0 0
dpotrf_taskdep simulation 8192 256 1 63 686.51 0 0 0
dpotrf_taskdep simulation 8192 256 1 64 691.515 0 0 0
dpotrf_taskdep simulation 8192 256 1 65 710.845 0 0 0
dpotrf_taskdep simulation 8192 256 1 66 706.629 0 0 0
dpotrf_taskdep simulation 8192 256 1 67 729.707 0 0 0
dpotrf_taskdep simulation 8192 256 1 68 731.183 0 0 0
dpotrf_taskdep simulation 8192 256 1 69 745.818 0 0 0
dpotrf_taskdep simulation 8192 256 1 70 742.966 0 0 0
dpotrf_taskdep simulation 8192 256 1 71 747.2 0 0 0
dpotrf_taskdep simulation 8192 256 1 72 756.44 0 0 0
dpotrf_taskdep simulation 8192 256 1 73 760.112 0 0 0
dpotrf_taskdep simulation 8192 256 1 74 766.95 0 0 0
dpotrf_taskdep simulation 8192 256 1 75 780.359 0 0 0
dpotrf_taskdep simulation 8192 256 1 76 802.11 0 0 0
dpotrf_taskdep simulation 8192 256 1 77 787.269 0 0 0
dpotrf_taskdep simulation 8192 256 1 78 785.763 0 0 0
dpotrf_taskdep simulation 8192 256 1 79 802.11 0 0 0
dpotrf_taskdep simulation 8192 256 1 80 826.439 0 0 0
