program runtime size blocksize iteration threads gflops model strat visits_per_task steals_per_task foo
dpotrf_taskdep simulation 8192 256 1 59 679.881 IdchireAffinityAVG RandLoc 252.712 4.69669 0
dpotrf_taskdep simulation 8192 256 1 57 656.556 IdchireAffinityAVG RandLoc 245.825 4.72861 0
dpotrf_taskdep simulation 8192 256 1 55 639.025 IdchireAffinityAVG RandLoc 206.623 4.18432 0
dpotrf_taskdep simulation 8192 256 1 60 679.321 IdchireAffinityAVG RandLoc 271.007 4.94034 0
dpotrf_taskdep simulation 8192 256 1 61 701.301 IdchireAffinityAVG RandLoc 271.783 4.86949 0
dpotrf_taskdep simulation 8192 256 1 62 680.254 IdchireAffinityAVG RandLoc 308.078 5.37968 0
dpotrf_taskdep simulation 8192 256 1 63 720.173 IdchireAffinityAVG RandLoc 300.262 5.1753 0
dpotrf_taskdep simulation 8192 256 1 64 716.91 IdchireAffinityAVG RandLoc 334.105 5.63219 0
dpotrf_taskdep simulation 8192 256 1 66 735.645 IdchireAffinityAVG RandLoc 352.04 5.74014 0
dpotrf_taskdep simulation 8192 256 1 65 719.143 IdchireAffinityAVG RandLoc 346.376 5.7378 0
dpotrf_taskdep simulation 8192 256 1 67 742.627 IdchireAffinityAVG RandLoc 361.999 5.812 0
dpotrf_taskdep simulation 8192 256 1 68 739.025 IdchireAffinityAVG RandLoc 412.039 6.46574 0
dpotrf_taskdep simulation 8192 256 1 69 770.186 IdchireAffinityAVG RandLoc 385.874 6.01136 0
dpotrf_taskdep simulation 8192 256 1 70 773.055 IdchireAffinityAVG RandLoc 411.669 6.29078 0
dpotrf_taskdep simulation 8192 256 1 71 784.841 IdchireAffinityAVG RandLoc 420.5 6.32386 0
dpotrf_taskdep simulation 8192 256 1 72 778.274 IdchireAffinityAVG RandLoc 464.445 6.85795 0
dpotrf_taskdep simulation 8192 256 1 73 801.779 IdchireAffinityAVG RandLoc 463.024 6.74181 0
dpotrf_taskdep simulation 8192 256 1 74 792.193 IdchireAffinityAVG RandLoc 496.275 7.10846 0
dpotrf_taskdep simulation 8192 256 1 75 805.531 IdchireAffinityAVG RandLoc 501.774 7.09592 0
dpotrf_taskdep simulation 8192 256 1 77 802.16 IdchireAffinityAVG RandLoc 568.889 7.7876 0
dpotrf_taskdep simulation 8192 256 1 78 833.069 IdchireAffinityAVG RandLoc 577.783 7.80749 0
dpotrf_taskdep simulation 8192 256 1 76 815.486 IdchireAffinityAVG RandLoc 520.352 7.2485 0
dpotrf_taskdep simulation 8192 256 1 79 836.114 IdchireAffinityAVG RandLoc 609.559 8.1113 0
dpotrf_taskdep simulation 8192 256 1 83 883.697 IdchireAffinityAVG RandLoc 638.402 8.09525 0
dpotrf_taskdep simulation 8192 256 1 82 849.206 IdchireAffinityAVG RandLoc 650.4 8.33322 0
