program runtime size blocksize iteration threads gflops model strat foo
dpotrf_taskdep simulation 32768 512 1 39 648.924 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 40 488.07 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 40 664.163 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 41 499.875 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 41 680.975 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 42 510.679 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 42 696.619 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 43 523.207 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 43 713.115 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 44 534.471 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 44 728.323 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 45 546.032 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 45 746.651 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 46 558.21 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 46 760.166 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 47 569.71 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 47 776.038 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 48 580.161 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 48 793.345 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 49 593.572 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 49 808.512 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 50 606.283 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 50 826.152 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 51 618.617 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 51 843.9 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 52 628.72 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 52 856.854 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 53 636.579 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 53 873.095 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 54 650.558 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 54 888.781 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 55 663.082 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 55 901.81 IdchireMax RandLoc 0
dpotrf_taskdep simulation 32768 512 1 56 672.45 IdchireMin RandLoc 0
dpotrf_taskdep simulation 32768 512 1 56 915.699 IdchireMax RandLoc 0
