threads  kid  date(rdtsc)     duration  task_id
192       10    449298388      3303660  dgemm
192       12    449320960      3326452  dgemm
192        9    449353056      3311780  dgemm
192       15    449281848      3586952  dgemm
192        5    449433986      3471960  dgemm
192        1    450145078      3292368  dgemm
192        6    450102078      3344100  dgemm
192        8    450913536      3625104  dgemm
192        4    451725682      4070236  dgemm
192        3    451898878      3909856  dgemm
192        2    452313210      3565372  dgemm
192       14    452318316      3637476  dgemm
192       11    452589068      3649256  dgemm
192       15    452877912      3384336  dgemm
192       12    452656996      3607864  dgemm
192        9    452673684      3627736  dgemm
192        5    452912666      3441912  dgemm
192        7    452598730      4000840  dgemm
192       10    452611700      4098076  dgemm
192        6    453450034      3473604  dgemm
192        1    453443918      3539636  dgemm
192        8    454552796      3415736  dgemm
192       13    454866256      3544984  dgemm
192        4    455805742      3425400  dgemm
192        3    455813946      3438520  dgemm
192        2    455883086      3547576  dgemm
192       14    455966092      3537104  dgemm
192       11    456246164      3434028  dgemm
192       12    456270892      3571464  dgemm
192        9    456307736      3576796  dgemm
192        7    456601930      3769092  dgemm
192        5    456362018      4010224  dgemm
192       10    456720876      3669688  dgemm
192        1    456990726      3480108  dgemm
192        6    456933302      3605744  dgemm
192        8    457979828      3406184  dgemm
192       13    458416768      3442724  dgemm
192       15    458861352      3569984  dgemm
192        4    459242586      3401428  dgemm
192        3    459258202      3442476  dgemm
192       14    459509652      3359260  dgemm
192        2    459437894      3584180  dgemm
192       11    459687820      3654496  dgemm
192        9    459894372      3563116  dgemm
192       12    459847548      3635920  dgemm
192       10    460399752      3346184  dgemm
192        5    460387358      3480724  dgemm
192        7    460378310      3494604  dgemm
192        6    460544422      3479340  dgemm
192        8    461393080      3862896  dgemm
192       13    461866080      3591192  dgemm
192       15    462437712      3552956  dgemm
192        3    462706086      3437572  dgemm
192        4    462654046      3510624  dgemm
192       14    462881068      3579876  dgemm
192        1    462990774      3564396  dgemm
192        2    463027198      3578400  dgemm
192       11    463355868      3392048  dgemm
192        9    463464076      3605080  dgemm
192       12    463491120      3616984  dgemm
192       10    463756292      3499564  dgemm
192        7    463879650      3505068  dgemm
192        5    463875714      3567436  dgemm
192        6    464027930      3508384  dgemm
192        8    465267792      3454340  dgemm
192       13    465462616      3560208  dgemm
192       15    465999904      3585380  dgemm
192        4    466171134      3483212  dgemm
192        3    466158422      3538916  dgemm
192       11    466754796      3430932  dgemm
192        2    466612338      3792436  dgemm
192        1    466563974      3842036  dgemm
192        9    467075804      3389204  dgemm
192       12    467116120      3581740  dgemm
192        5    467447610      3348920  dgemm
192        6    467545218      3324832  dgemm
192       10    467265104      3638824  dgemm
192        7    467391230      3527084  dgemm
192       14    468735844      3481764  dgemm
192        8    468734420      3483572  dgemm
192       13    469034340      3438212  dgemm
192       15    469600728      3394268  dgemm
192        4    469670466      3388820  dgemm
192        3    469705130      3377240  dgemm
192       11    470199736      3579068  dgemm
192        9    470476012      3345152  dgemm
192        1    470417314      3515480  dgemm
192        2    470414258      3580120  dgemm
192        5    470808866      3406980  dgemm
192        6    470878018      3343092  dgemm
192       12    470706872      3568572  dgemm
192        7    470931146      4423720  dgemm
192       14    472227096      3599900  dgemm
192        8    472227148      3681620  dgemm
192       13    472478168      3468484  dgemm
192        3    473090686      3337036  dgemm
192       15    473003060      3469812  dgemm
192        4    473069474      3503248  dgemm
192       11    473787652      3663904  dgemm
192        9    473826996      3687740  dgemm
192        1    473938642      3662064  dgemm
192        6    474227774      3431056  dgemm
192        5    474224126      3627800  dgemm
192       12    474284908      3625028  dgemm
192       10    473988928      4188276  dgemm
192        2    474003530      4217908  dgemm
192        7    475364338      3533968  dgemm
192       14    475840780      3568184  dgemm
192       13    475951612      3463500  dgemm
192        8    475915244      3528816  dgemm
192        3    476439066      3551056  dgemm
192        4    476580274      3451352  dgemm
192       15    476481816      3593260  dgemm
192       11    477460804      3558300  dgemm
192        6    477663674      3739216  dgemm
192        1    477608698      3794488  dgemm
192       12    477918840      3541828  dgemm
192        5    477857530      3619928  dgemm
192       10    478183816      3418656  dgemm
192        2    478227666      3583904  dgemm
192        7    478905946      3384464  dgemm
192        8    479448868      3398004  dgemm
192       13    479419856      3488980  dgemm
192       14    479417296      3618604  dgemm
192        9    479776560      3542120  dgemm
192        4    480048278      3383776  dgemm
192       15    480083508      3520656  dgemm
192        3    479996738      3611140  dgemm
192       11    481026700      3637928  dgemm
192        1    481411466      3417904  dgemm
192        6    481410622      3561420  dgemm
192       10    481610772      3409676  dgemm
192        2    481816670      3376724  dgemm
192       12    481470460      4030040  dgemm
192        5    481483342      4099664  dgemm
192        7    482299678      3567308  dgemm
192       13    482916728      3423668  dgemm
192        8    482856032      3578900  dgemm
192       14    483040368      3468740  dgemm
