Progname Runtime Size Blocksize Iterations Threads Gflops startTime endTime Stddev
dpotrf_taskdep clang 8192 200 10 128 589.961992 1513962663263892410 1513962663560565516 23.609846
dpotrf_taskdep clang 8192 208 10 128 594.577225 1513962719380213765 1513962719689508893 13.708586
dpotrf_taskdep clang 8192 216 10 128 626.162802 1513962775195329829 1513962775483600927 40.157979
dpotrf_taskdep clang 8192 232 10 128 591.755512 1513962831199068084 1513962831526213635 34.674110
dpotrf_taskdep clang 8192 248 10 128 599.320294 1513962887216727501 1513962887557849976 28.626323
dpotrf_taskdep clang 8192 264 10 128 579.530948 1513962943367036707 1513962943679879758 25.802152
dpotrf_taskdep clang 8192 272 10 128 619.115661 1513962999240828988 1513962999533344228 31.297587
dpotrf_taskdep clang 8192 288 10 128 592.248665 1513963055277541517 1513963055589168716 21.732129
dpotrf_taskdep clang 8192 304 10 128 586.198609 1513963111365292632 1513963111668687735 22.358265
dpotrf_taskdep clang 8192 320 10 128 565.807980 1513963167457596929 1513963167774858790 23.227929
dpotrf_taskdep clang 8192 336 10 128 549.361635 1513963223724595636 1513963224069902693 28.200297
dpotrf_taskdep clang 8192 352 10 128 527.866040 1513963280133722258 1513963280485247617 18.773434
dpotrf_taskdep clang 8192 400 10 128 488.020149 1513963336649088551 1513963337061356947 20.141612
dpotrf_taskdep clang 8192 448 10 128 431.041237 1513963393827524341 1513963394270769130 10.901663
dpotrf_taskdep clang 16384 576 10 64 564.325991 1514634562475966687 1514634565150740373 9.277873
dpotrf_taskdep clang 16384 640 10 64 466.701311 1514634654160526509 1514634657354616977 10.684991
dpotrf_taskdep clang 16384 704 10 64 504.009809 1514634743893018744 1514634746810889292 11.421449
dpotrf_taskdep gcc 8192 64 10 64 5.420035 1513799744848446447 1513799778655511808 0.004255
dpotrf_taskdep gcc 8192 80 10 64 10.347114 1513800017142500996 1513800034841440924 0.009692
dpotrf_taskdep gcc 8192 96 10 64 18.450140 1513800192043696127 1513800201971364048 0.038198
dpotrf_taskdep gcc 8192 128 10 64 57.665149 1513800288120976657 1513800291322681024 0.597783
dpotrf_taskdep gcc 8192 144 10 64 115.850709 1513800360559500488 1513800362134949681 4.627367
dpotrf_taskdep gcc 8192 160 10 64 321.180102 1513800420894092679 1513800421469857452 16.660644
dpotrf_taskdep gcc 8192 176 10 64 434.721427 1513800477871263113 1513800478302694033 9.874465
dpotrf_taskdep gcc 8192 192 10 64 469.312847 1513800534409249518 1513800534777416048 12.689800
