#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep clang 8192 120 10 64 341.769231 1513805295387603585 1513805295922227733 3.093853
#Experience summarry : avg : 341.769231 :: std : 3.093853 :: min : 335.032453 :: max : 346.592697 :: median : 341.809598

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep clang 8192 136 10 64 403.529114 1513805352763842765 1513805353211496206 9.157061
#Experience summarry : avg : 403.529114 :: std : 9.157061 :: min : 390.001359 :: max : 418.027727 :: median : 404.921005

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep clang 8192 200 10 64 559.155211 1513805408736718972 1513805409060383825 8.679340
#Experience summarry : avg : 559.155211 :: std : 8.679340 :: min : 543.050713 :: max : 573.889688 :: median : 560.732759

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep clang 8192 208 10 64 571.345986 1513805464521738944 1513805464837030978 7.016357
#Experience summarry : avg : 571.345986 :: std : 7.016357 :: min : 556.437463 :: max : 581.321813 :: median : 573.188367

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep clang 8192 216 10 64 573.267826 1513805520266738650 1513805520585263415 7.674149
#Experience summarry : avg : 573.267826 :: std : 7.674149 :: min : 559.659147 :: max : 582.833960 :: median : 575.994491

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep clang 8192 232 10 64 574.281868 1513805576008306640 1513805576326088719 4.889413
#Experience summarry : avg : 574.281868 :: std : 4.889413 :: min : 566.804797 :: max : 584.739358 :: median : 574.145140

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep clang 8192 248 10 64 564.505169 1513805631824596976 1513805632146912978 7.153670
#Experience summarry : avg : 564.505169 :: std : 7.153670 :: min : 552.369356 :: max : 577.950501 :: median : 564.709666

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep clang 8192 264 10 64 570.944234 1513805687610600825 1513805687927826007 13.191128
#Experience summarry : avg : 570.944234 :: std : 13.191128 :: min : 543.806329 :: max : 592.225644 :: median : 576.344273

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep clang 8192 272 10 64 566.445077 1513805743362244513 1513805743689643507 8.102494
#Experience summarry : avg : 566.445077 :: std : 8.102494 :: min : 550.471616 :: max : 576.994007 :: median : 566.458147

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep clang 8192 288 10 64 556.057406 1513805799267022201 1513805799592740764 11.691317
#Experience summarry : avg : 556.057406 :: std : 11.691317 :: min : 534.126241 :: max : 573.543306 :: median : 561.281765

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep clang 8192 304 10 64 531.792673 1513805855287095182 1513805855620738333 13.774911
#Experience summarry : avg : 531.792673 :: std : 13.774911 :: min : 506.182183 :: max : 551.838826 :: median : 532.470682

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep clang 8192 320 10 64 525.694472 1513805911343516598 1513805911694842221 15.186730
#Experience summarry : avg : 525.694472 :: std : 15.186730 :: min : 508.093138 :: max : 553.590505 :: median : 521.696372

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep clang 8192 336 10 64 488.550426 1513805967726189248 1513805968096693313 11.315133
#Experience summarry : avg : 488.550426 :: std : 11.315133 :: min : 469.985663 :: max : 503.611950 :: median : 493.027802

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep clang 8192 352 10 64 475.704395 1513806024209074592 1513806024586326915 11.785916
#Experience summarry : avg : 475.704395 :: std : 11.785916 :: min : 452.477429 :: max : 492.595942 :: median : 479.142604

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep clang 8192 400 10 64 433.138806 1513806081010490344 1513806081443951728 8.654471
#Experience summarry : avg : 433.138806 :: std : 8.654471 :: min : 420.967625 :: max : 446.208417 :: median : 435.947515

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep clang 8192 448 10 64 396.671150 1513806138247752033 1513806138737005262 10.974543
#Experience summarry : avg : 396.671150 :: std : 10.974543 :: min : 374.622373 :: max : 410.287175 :: median : 401.556110

