#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep ompss 8192 120 10 64 78.104451 1513809579455881487 1513809581520499086 18.217086
#Experience summarry : avg : 78.104451 :: std : 18.217086 :: min : 23.768914 :: max : 88.774536 :: median : 84.166342

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep ompss 8192 136 10 64 106.122025 1513809652117590665 1513809653736046334 15.624521
#Experience summarry : avg : 106.122025 :: std : 15.624521 :: min : 63.954664 :: max : 118.963091 :: median : 113.247186

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep ompss 8192 200 10 64 326.784984 1513809712022576964 1513809712566327877 9.348686
#Experience summarry : avg : 326.784984 :: std : 9.348686 :: min : 314.045099 :: max : 340.035244 :: median : 326.219599

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep ompss 8192 208 10 64 335.908214 1513809770531659647 1513809771098739395 14.678954
#Experience summarry : avg : 335.908214 :: std : 14.678954 :: min : 298.855776 :: max : 350.981156 :: median : 340.056753

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep ompss 8192 216 10 64 396.202984 1513809828309359725 1513809828767447595 12.546038
#Experience summarry : avg : 396.202984 :: std : 12.546038 :: min : 370.412792 :: max : 409.632401 :: median : 402.121766

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep ompss 8192 232 10 64 437.942550 1513809885496316680 1513809885908057624 10.762589
#Experience summarry : avg : 437.942550 :: std : 10.762589 :: min : 416.054921 :: max : 446.716361 :: median : 443.237739

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep ompss 8192 248 10 64 474.050114 1513809942330706642 1513809942714628009 8.294800
#Experience summarry : avg : 474.050114 :: std : 8.294800 :: min : 462.431045 :: max : 489.672878 :: median : 473.717308

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep ompss 8192 264 10 64 522.020875 1513809998851839978 1513809999204763842 6.028131
#Experience summarry : avg : 522.020875 :: std : 6.028131 :: min : 507.018126 :: max : 529.331906 :: median : 521.657785

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep ompss 8192 272 10 64 514.595881 1513810055341874412 1513810055702999296 15.937150
#Experience summarry : avg : 514.595881 :: std : 15.937150 :: min : 491.744554 :: max : 542.617960 :: median : 514.165168

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep ompss 8192 288 10 64 543.071571 1513810111541497304 1513810111862205293 13.058786
#Experience summarry : avg : 543.071571 :: std : 13.058786 :: min : 523.320063 :: max : 571.502653 :: median : 546.832044

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep ompss 8192 304 10 64 527.671521 1513810167884075870 1513810168227926179 10.057412
#Experience summarry : avg : 527.671521 :: std : 10.057412 :: min : 515.234473 :: max : 548.060062 :: median : 527.033706

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep ompss 8192 320 10 64 531.436108 1513810224113895688 1513810224460240163 13.876632
#Experience summarry : avg : 531.436108 :: std : 13.876632 :: min : 509.640228 :: max : 552.101584 :: median : 529.197449

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep ompss 8192 336 10 64 518.308165 1513810280396698668 1513810280741572017 12.895640
#Experience summarry : avg : 518.308165 :: std : 12.895640 :: min : 496.914837 :: max : 535.839556 :: median : 522.981139

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep ompss 8192 352 10 64 504.736189 1513810336784514658 1513810337142173380 9.417908
#Experience summarry : avg : 504.736189 :: std : 9.417908 :: min : 481.116019 :: max : 517.675308 :: median : 504.985499

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep ompss 8192 400 10 64 462.888443 1513810393458405511 1513810393845534229 9.033598
#Experience summarry : avg : 462.888443 :: std : 9.033598 :: min : 445.746335 :: max : 476.144073 :: median : 463.924604

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep ompss 8192 448 10 64 407.664830 1513810450760588539 1513810451204309037 6.839775
#Experience summarry : avg : 407.664830 :: std : 6.839775 :: min : 398.187065 :: max : 419.183613 :: median : 412.595348

