#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 208 10 64 494.465676 1513808347583739751 1513808347943844295 7.555370
#Experience summarry : avg : 494.465676 :: std : 7.555370 :: min : 483.035940 :: max : 508.979214 :: median : 493.732658

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 216 10 64 503.092052 1513808403911278277 1513808404282225846 7.940165
#Experience summarry : avg : 503.092052 :: std : 7.940165 :: min : 493.975041 :: max : 519.265259 :: median : 502.658978

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 232 10 64 522.293472 1513808460082190376 1513808460437960570 6.027743
#Experience summarry : avg : 522.293472 :: std : 6.027743 :: min : 514.289342 :: max : 531.397765 :: median : 522.617072

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 248 10 64 525.199660 1513808516228610575 1513808516573153709 7.868272
#Experience summarry : avg : 525.199660 :: std : 7.868272 :: min : 504.589075 :: max : 534.969986 :: median : 527.061167

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 264 10 64 531.150661 1513808572272884425 1513808572622720738 5.069502
#Experience summarry : avg : 531.150661 :: std : 5.069502 :: min : 523.916738 :: max : 541.756809 :: median : 532.148905

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 272 10 64 533.659874 1513808628346980378 1513808628695662263 7.003350
#Experience summarry : avg : 533.659874 :: std : 7.003350 :: min : 521.316414 :: max : 544.156229 :: median : 536.228270

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 288 10 64 536.953601 1513808684347585522 1513808684688536980 7.785508
#Experience summarry : avg : 536.953601 :: std : 7.785508 :: min : 524.788331 :: max : 551.577900 :: median : 539.120862

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 304 10 64 518.910773 1513808740455109553 1513808740799243093 9.220785
#Experience summarry : avg : 518.910773 :: std : 9.220785 :: min : 504.393413 :: max : 533.052932 :: median : 517.875481

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 320 10 64 519.468563 1513808796601791120 1513808796966715484 11.614782
#Experience summarry : avg : 519.468563 :: std : 11.614782 :: min : 502.253727 :: max : 534.152962 :: median : 527.786681

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 336 10 64 503.247730 1513808852829695980 1513808853197527467 8.221902
#Experience summarry : avg : 503.247730 :: std : 8.221902 :: min : 492.356172 :: max : 515.185442 :: median : 502.501595

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 352 10 64 488.540927 1513808909164835920 1513808909534703031 9.017569
#Experience summarry : avg : 488.540927 :: std : 9.017569 :: min : 469.629070 :: max : 499.672789 :: median : 490.102125

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 400 10 64 445.121318 1513808965827239614 1513808966231081004 7.936802
#Experience summarry : avg : 445.121318 :: std : 7.936802 :: min : 429.750129 :: max : 453.854493 :: median : 448.646354

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 448 10 64 418.049980 1513809022713023206 1513809023150185322 6.985893
#Experience summarry : avg : 418.049980 :: std : 6.985893 :: min : 407.100247 :: max : 425.682114 :: median : 423.205129

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 64 10 64 5.770126 1513946017477844480 1513946271458606676 0.005256
#Experience summarry : avg : 5.770126 :: std : 0.005256 :: min : 5.756279 :: max : 5.774474 :: median : 5.772680

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 88 10 64 19.976392 1513947082155336085 1513947155636002691 0.018652
#Experience summarry : avg : 19.976392 :: std : 0.018652 :: min : 19.952753 :: max : 20.003655 :: median : 19.984742

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 96 10 64 18.806396 1513948015934797473 1513948093911100281 0.012534
#Experience summarry : avg : 18.806396 :: std : 0.012534 :: min : 18.788414 :: max : 18.831655 :: median : 18.806064

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 112 10 64 30.705548 1513948643961986663 1513948691759740129 0.020258
#Experience summarry : avg : 30.705548 :: std : 0.020258 :: min : 30.674029 :: max : 30.729443 :: median : 30.718919

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 120 10 64 39.248826 1513949134729993249 1513949172094548789 0.046308
#Experience summarry : avg : 39.248826 :: std : 0.046308 :: min : 39.152981 :: max : 39.304245 :: median : 39.254898

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 128 10 64 52.309626 1513949519118420602 1513949547123914613 0.083905
#Experience summarry : avg : 52.309626 :: std : 0.083905 :: min : 52.153450 :: max : 52.426861 :: median : 52.350698

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 136 10 64 65.742742 1513949835489012947 1513949857761422382 0.159360
#Experience summarry : avg : 65.742742 :: std : 0.159360 :: min : 65.499325 :: max : 65.995270 :: median : 65.750210

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 144 10 64 87.728009 1513950088275175270 1513950104950865284 0.682415
#Experience summarry : avg : 87.728009 :: std : 0.682415 :: min : 86.879410 :: max : 88.988755 :: median : 87.675901

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 160 10 64 421.429700 1513950198421440499 1513950201914609904 5.175656
#Experience summarry : avg : 421.429700 :: std : 5.175656 :: min : 414.323082 :: max : 428.210811 :: median : 423.897179

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 176 10 64 463.495232 1513950291997459253 1513950295137401531 3.536307
#Experience summarry : avg : 463.495232 :: std : 3.536307 :: min : 454.775882 :: max : 466.994481 :: median : 464.956971

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 192 10 64 519.112465 1513950381997595308 1513950384766669549 5.716087
#Experience summarry : avg : 519.112465 :: std : 5.716087 :: min : 510.939577 :: max : 529.472937 :: median : 517.689928

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 200 10 64 562.832397 1513950469419397892 1513950472017075050 8.509282
#Experience summarry : avg : 562.832397 :: std : 8.509282 :: min : 554.395022 :: max : 583.169849 :: median : 564.407760

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 208 10 64 585.169328 1513950555619753015 1513950558108659414 8.371870
#Experience summarry : avg : 585.169328 :: std : 8.371870 :: min : 571.249784 :: max : 600.659224 :: median : 587.369364

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 224 10 64 613.929489 1513950640715954052 1513950643088217222 8.788218
#Experience summarry : avg : 613.929489 :: std : 8.788218 :: min : 594.710424 :: max : 627.081478 :: median : 618.038452

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
