"Exp" "Blocksize" "Access" "total_cores" "kernel" "thread" "GFlops" "cycles" "cycles_ref" "Std" "Nxp"
"55" "dsyrk" 64 "local" 10 "dsyrk" 36 7.17050658 78380.34 3564.04 1.18158051954546 50
"56" "dsyrk" 64 "local" 11 "dsyrk" 0 7.1322988 78626.2 3574.14 1.174667769925 50
"57" "dsyrk" 64 "local" 11 "dsyrk" 4 7.2031287755102 77685.4489795918 3532.59183673469 0.749664744935007 49
"58" "dsyrk" 64 "local" 11 "dsyrk" 8 7.33248897959184 77164.2653061225 3507.79591836735 0.754752908121384 49
"59" "dsyrk" 64 "local" 11 "dsyrk" 12 7.17224416 78046.2 3547.78 1.1791748473569 50
"60" "dsyrk" 64 "local" 11 "dsyrk" 16 7.16727562 78084.14 3550.48 1.19257866494298 50
"61" "dsyrk" 64 "local" 11 "dsyrk" 20 6.96748654 79990.06 3636.24 1.18983607182319 50
"62" "dsyrk" 64 "local" 11 "dsyrk" 24 6.81528544 82362.48 3744.56 1.22486862557402 50
"63" "dsyrk" 64 "local" 11 "dsyrk" 28 6.6806073 83930.36 3815.54 1.16612755163352 50
"64" "dsyrk" 64 "local" 11 "dsyrk" 32 6.96519176 80647.32 3666.42 1.24725964473164 50
"65" "dsyrk" 64 "local" 11 "dsyrk" 36 7.1340005 78935.74 3588.8 1.18577899918682 50
"66" "dsyrk" 64 "local" 11 "dsyrk" 40 6.95555824 80311.8 3650.78 1.20506203120166 50
"67" "dsyrk" 64 "local" 12 "dsyrk" 0 7.21942314 76968.56 3499 1.16765568042418 50
"68" "dsyrk" 64 "local" 12 "dsyrk" 4 7.35143 76337.8571428571 3470.16326530612 0.628678316566456 49
"69" "dsyrk" 64 "local" 12 "dsyrk" 8 7.46633857142857 74758.9591836735 3398.20408163265 0.706277711232156 49
"70" "dsyrk" 64 "local" 12 "dsyrk" 12 7.29595772 76392.62 3472.5 1.16961129704209 50
"71" "dsyrk" 64 "local" 12 "dsyrk" 16 7.4860643 73955.46 3362.18 1.18449629122015 50
"72" "dsyrk" 64 "local" 12 "dsyrk" 20 7.59155142 73650.48 3347.9 1.16800420074797 50
"73" "dsyrk" 64 "local" 12 "dsyrk" 24 7.2438758 76571.08 3480.7 1.14803736590347 50
"74" "dsyrk" 64 "local" 12 "dsyrk" 28 7.51228734 74350.6 3380.5 1.1979633239752 50
"75" "dsyrk" 64 "local" 12 "dsyrk" 32 7.10622758 78764.84 3581.68 1.16017375920133 50
"76" "dsyrk" 64 "local" 12 "dsyrk" 36 7.32346342 75942.22 3453.04 1.17520841560886 50
"77" "dsyrk" 64 "local" 12 "dsyrk" 40 7.38841144 75327.24 3425.44 1.18815528203847 50
"78" "dsyrk" 64 "local" 12 "dsyrk" 44 7.4675646 74403.8 3382.64 1.1585822650087 50
"79" "dsyrk" 64 "local" 13 "dsyrk" 0 6.90496128 80912.18 3679.18 1.17677144901802 50
"80" "dsyrk" 64 "local" 13 "dsyrk" 4 7.15306918367347 78462.9183673469 3567.18367346939 0.743533974506312 49
"81" "dsyrk" 64 "local" 13 "dsyrk" 8 7.05307387755102 79749.8979591837 3625.48979591837 0.82115317527349 49
"82" "dsyrk" 64 "local" 13 "dsyrk" 12 7.02579908 79806.46 3629.5 1.18782777289826 50
"83" "dsyrk" 64 "local" 13 "dsyrk" 16 6.90899488 81172.48 3689.74 1.2477153370857 50
"84" "dsyrk" 64 "local" 13 "dsyrk" 20 7.02675234 79610.32 3619.34 1.19554906568843 50
"85" "dsyrk" 64 "local" 13 "dsyrk" 24 7.03219818 79482.86 3613.08 1.20236437002738 50
"86" "dsyrk" 64 "local" 13 "dsyrk" 28 7.0426351 79573.62 3617.6 1.21676252187067 50
"87" "dsyrk" 64 "local" 13 "dsyrk" 32 6.4698321 85883.76 3905.86 1.10607787573475 50
"88" "dsyrk" 64 "local" 13 "dsyrk" 36 7.04193932 79417.14 3610.12 1.19856868645568 50
"89" "dsyrk" 64 "local" 13 "dsyrk" 40 6.86887044 81362.84 3699.02 1.17179710991902 50
"90" "dsyrk" 64 "local" 13 "dsyrk" 44 6.98513332 80430.92 3656.92 1.16810017901881 50
"91" "dsyrk" 64 "local" 13 "dsyrk" 48 7.1559199 78177.32 3553.68 1.20292706021879 50
"92" "dsyrk" 64 "local" 14 "dsyrk" 0 7.08001748 79091.42 3595.46 1.12738911731486 50
"93" "dsyrk" 64 "local" 14 "dsyrk" 4 7.52238204081633 74460.8367346939 3384.75510204082 0.543150410429666 49
"94" "dsyrk" 64 "local" 14 "dsyrk" 8 7.44264285714286 75209.5306122449 3419.20408163265 0.499655589222883 49
"95" "dsyrk" 64 "local" 14 "dsyrk" 12 7.4268159 75384.54 3426.98 1.13863775999544 50
"96" "dsyrk" 64 "local" 14 "dsyrk" 16 7.31838824 76511.52 3479.58 1.17951890142938 50
"97" "dsyrk" 64 "local" 14 "dsyrk" 20 7.48135396 74751.14 3397.86 1.14215512580545 50
"98" "dsyrk" 64 "local" 14 "dsyrk" 24 7.28840022 76817.96 3491.82 1.17287290282798 50
"99" "dsyrk" 64 "local" 14 "dsyrk" 28 7.10897942 78517.38 3569.4 1.15161408892931 50
"100" "dsyrk" 64 "local" 14 "dsyrk" 32 7.22403676 77352.88 3517 1.12654853975733 50
"101" "dsyrk" 64 "local" 14 "dsyrk" 36 7.3872022 75607.28 3437.56 1.14185619178758 50
"102" "dsyrk" 64 "local" 14 "dsyrk" 40 7.19533732 77530.12 3524.9 1.14619756744083 50
"103" "dsyrk" 64 "local" 14 "dsyrk" 44 7.43563968 75439.7 3429.46 1.15785949989441 50
"104" "dsyrk" 64 "local" 14 "dsyrk" 48 7.30005242 76504.02 3477.76 1.14111476798812 50
"105" "dsyrk" 64 "local" 14 "dsyrk" 52 7.54806904 74061.6 3366.68 1.14241952027192 50
"106" "dsyrk" 64 "local" 15 "dsyrk" 0 6.94349026 79470.02 3613.66 1.24786580782637 50
"107" "dsyrk" 64 "local" 15 "dsyrk" 4 6.66504979591837 83618.3469387755 3800.97959183673 0.623262544473601 49
"108" "dsyrk" 64 "local" 15 "dsyrk" 8 7.03095367346939 79394.7755102041 3608.83673469388 0.734033086977618 49
"109" "dsyrk" 64 "local" 15 "dsyrk" 12 6.84786536 80899.52 3677.52 1.10982221908008 50
"110" "dsyrk" 64 "local" 15 "dsyrk" 16 6.96933978 80179.3 3644.68 1.20883598709869 50
"111" "dsyrk" 64 "local" 15 "dsyrk" 20 7.005591 79769.74 3627.18 1.13715962643997 50
"112" "dsyrk" 64 "local" 15 "dsyrk" 24 6.81795946 81179.5 3690.34 1.15244280278073 50
"113" "dsyrk" 64 "local" 15 "dsyrk" 28 6.89448768 81268.12 3694.78 1.16421742353821 50
"114" "dsyrk" 64 "local" 15 "dsyrk" 32 6.91285114 80549.22 3661.9 1.15299521626797 50
"115" "dsyrk" 64 "local" 15 "dsyrk" 36 6.9395901 80100.92 3642.56 1.20268504878285 50
"116" "dsyrk" 64 "local" 15 "dsyrk" 40 6.94084162 80191.62 3645.3 1.18727125399216 50
"117" "dsyrk" 64 "local" 15 "dsyrk" 44 7.06355938 79598.08 3618.82 1.22826058003296 50
"118" "dsyrk" 64 "local" 15 "dsyrk" 48 6.88978034 80411.94 3655.6 1.15774673673532 50
"119" "dsyrk" 64 "local" 15 "dsyrk" 52 6.94139956 80059.38 3639.82 1.14408662948325 50
