"Exp" "Blocksize" "Access" "total_cores" "kernel" "thread" "GFlops" "cycles" "cycles_ref" "Std" "Nxp"
"57" "dgemm" 64 "local" 11 "dgemm" 4 13.8236591836735 79680.5510204082 3622.95918367347 1.07183289002188 49
"58" "dgemm" 64 "local" 11 "dgemm" 8 14.0052836734694 78849.2653061225 3584.38775510204 0.929708827480173 49
"59" "dgemm" 64 "local" 11 "dgemm" 12 13.80577212 79706.54 3623.66 2.09254202672628 50
"60" "dgemm" 64 "local" 11 "dgemm" 16 13.71884528 80711.88 3668.62 2.09740067520701 50
"61" "dgemm" 64 "local" 11 "dgemm" 20 13.66428494 80408.88 3656.36 2.10075711679982 50
"62" "dgemm" 64 "local" 11 "dgemm" 24 13.60842898 80975.52 3681.7 2.14160789525414 50
"63" "dgemm" 64 "local" 11 "dgemm" 28 13.43125924 81785.1 3717.88 2.11764006791337 50
"64" "dgemm" 64 "local" 11 "dgemm" 32 13.66392274 80831.04 3675.6 2.11862283756869 50
"65" "dgemm" 64 "local" 11 "dgemm" 36 13.70843906 80432.68 3656.4 2.12372055921949 50
"66" "dgemm" 64 "local" 11 "dgemm" 40 13.69105844 80619.14 3664.7 2.03669975932716 50
"67" "dgemm" 64 "local" 12 "dgemm" 0 14.27536752 77273.06 3512.46 2.02110079501765 50
"68" "dgemm" 64 "local" 12 "dgemm" 4 13.966593877551 78876.8979591837 3585.08163265306 0.75099102674626 49
"69" "dgemm" 64 "local" 12 "dgemm" 8 14.4549040816327 76495.8571428571 3477.69387755102 0.740903907950503 49
"70" "dgemm" 64 "local" 12 "dgemm" 12 14.07901184 78145.9 3552.34 2.04108082269482 50
"71" "dgemm" 64 "local" 12 "dgemm" 16 14.20108788 77700.2 3532.28 2.02871624995273 50
"72" "dgemm" 64 "local" 12 "dgemm" 20 14.14046344 77803.94 3537.38 2.04844618935542 50
"73" "dgemm" 64 "local" 12 "dgemm" 24 14.1812914 77829.26 3537.92 2.03071586962001 50
"74" "dgemm" 64 "local" 12 "dgemm" 28 13.85884084 79512.46 3614.38 2.02440173164042 50
"75" "dgemm" 64 "local" 12 "dgemm" 32 13.654301 80459.32 3657.62 2.0061284786641 50
"76" "dgemm" 64 "local" 12 "dgemm" 36 13.99623416 78511.3 3569.52 2.02580880739238 50
"77" "dgemm" 64 "local" 12 "dgemm" 40 14.23485836 77622.88 3528.74 2.03167220653348 50
"78" "dgemm" 64 "local" 12 "dgemm" 44 14.00517046 78379.12 3563.64 2.04528936186974 50
"79" "dgemm" 64 "local" 13 "dgemm" 0 13.58794178 81324.74 3696.84 2.04862000109303 50
"80" "dgemm" 64 "local" 13 "dgemm" 4 13.3735448979592 82555.2040816326 3753.51020408163 1.06021173633329 49
"81" "dgemm" 64 "local" 13 "dgemm" 8 13.2840571428571 83262.7959183674 3784.65306122449 0.949475458257523 49
"82" "dgemm" 64 "local" 13 "dgemm" 12 13.34581502 82419.74 3747.3 1.98115021008834 50
"83" "dgemm" 64 "local" 13 "dgemm" 16 13.21731386 83239.86 3785.36 1.9705535191332 50
"84" "dgemm" 64 "local" 13 "dgemm" 20 13.49450862 81422.06 3701.82 2.02879336687561 50
"85" "dgemm" 64 "local" 13 "dgemm" 24 13.41061642 81909.36 3724.5 1.98534705624534 50
"86" "dgemm" 64 "local" 13 "dgemm" 28 13.08721704 83911.82 3814.62 2.00268388672366 50
"87" "dgemm" 64 "local" 13 "dgemm" 32 13.08936948 84152.32 3825.36 2.01733579946374 50
"88" "dgemm" 64 "local" 13 "dgemm" 36 13.18961472 83328.84 3788.38 1.99736957530864 50
"89" "dgemm" 64 "local" 13 "dgemm" 40 13.55840408 81230.5 3694.16 2.01064201293905 50
"90" "dgemm" 64 "local" 13 "dgemm" 44 13.42047414 82024.26 3729.38 2.07663653025365 50
