"Exp" "Blocksize" "Access" "total_cores" "kernel" "thread" "GFlops" "cycles" "cycles_ref" "Std" "Nxp"
"55" "dpotrf" 64 "local" 10 "dpotrf" 36 3.14669104 47968.24 2180.26 0.443167401875522 50
"56" "dpotrf" 64 "local" 11 "dpotrf" 0 3.06779098 48933.08 2224.26 0.47553671549217 50
"57" "dpotrf" 64 "local" 11 "dpotrf" 4 3.10512714285714 47465.7142857143 2157.71428571429 0.231665017158396 49
"58" "dpotrf" 64 "local" 11 "dpotrf" 8 3.15271285714286 47301.2040816327 2150.38775510204 0.203862984185048 49
"59" "dpotrf" 64 "local" 11 "dpotrf" 12 3.09791886 48760.4 2216.4 0.443271841715714 50
"60" "dpotrf" 64 "local" 11 "dpotrf" 16 3.10300902 48874.58 2221.5 0.439185308523773 50
"61" "dpotrf" 64 "local" 11 "dpotrf" 20 3.1012866 48244.42 2192.78 0.477162368568604 50
"62" "dpotrf" 64 "local" 11 "dpotrf" 24 3.02115706 49503.34 2250.42 0.494232615157731 50
"63" "dpotrf" 64 "local" 11 "dpotrf" 28 3.09880278 48812.2 2218.86 0.442477599040845 50
"64" "dpotrf" 64 "local" 11 "dpotrf" 32 3.06632604 49858.32 2266.28 0.436416372975651 50
"65" "dpotrf" 64 "local" 11 "dpotrf" 36 3.07913844 48971.8 2225.78 0.439121287336294 50
"66" "dpotrf" 64 "local" 11 "dpotrf" 40 3.08465346 48854.1 2220.62 0.469127318070705 50
"67" "dpotrf" 64 "local" 12 "dpotrf" 0 3.04682436 49238.24 2237.7 0.472221042921887 50
"68" "dpotrf" 64 "local" 12 "dpotrf" 4 3.15967795918367 47088.2653061224 2140.4693877551 0.220133438774262 49
"69" "dpotrf" 64 "local" 12 "dpotrf" 8 3.1623893877551 47296.5306122449 2149.63265306122 0.221733527417185 49
"70" "dpotrf" 64 "local" 12 "dpotrf" 12 3.08102614 48377.16 2198.76 0.474133114027731 50
"71" "dpotrf" 64 "local" 12 "dpotrf" 16 3.09300646 48493.28 2204.6 0.47705290357767 50
"72" "dpotrf" 64 "local" 12 "dpotrf" 20 3.09372656 48749.42 2216.02 0.478067777290113 50
"73" "dpotrf" 64 "local" 12 "dpotrf" 24 3.1036158 48517.9 2205.2 0.439785580528948 50
