Exp total_cores kernel thread size time-ms
bandwidth_200000000_0_5 5 copy 0  200000000 87.2136
bandwidth_200000000_0_5 5 copy 0  200000000 87.0165
bandwidth_200000000_0_5 5 copy 0  200000000 87.0303
bandwidth_200000000_0_5 5 copy 0  200000000 87.1487
bandwidth_200000000_0_5 5 copy 0  200000000 87.1109
bandwidth_200000000_0_5 5 copy 0  200000000 84.0059
bandwidth_200000000_0_5 5 copy 1  200000000 86.776
bandwidth_200000000_0_5 5 copy 1  200000000 86.2566
bandwidth_200000000_0_5 5 copy 1  200000000 86.0508
bandwidth_200000000_0_5 5 copy 1  200000000 85.7144
bandwidth_200000000_0_5 5 copy 1  200000000 86.11
bandwidth_200000000_0_5 5 copy 1  200000000 85.7546
bandwidth_200000000_0_5 5 copy 1  200000000 85.928
bandwidth_200000000_0_5 5 copy 1  200000000 85.8036
bandwidth_200000000_0_5 5 copy 1  200000000 85.648
bandwidth_200000000_0_5 5 copy 1  200000000 85.6037
bandwidth_200000000_0_5 5 copy 2  200000000 86.6125
bandwidth_200000000_0_5 5 copy 2  200000000 86.4564
bandwidth_200000000_0_5 5 copy 2  200000000 86.5657
bandwidth_200000000_0_5 5 copy 2  200000000 86.1718
bandwidth_200000000_0_5 5 copy 2  200000000 85.9687
bandwidth_200000000_0_5 5 copy 2  200000000 85.8465
bandwidth_200000000_0_5 5 copy 2  200000000 86.1273
bandwidth_200000000_0_5 5 copy 2  200000000 86.3584
bandwidth_200000000_0_5 5 copy 2  200000000 86.1496
bandwidth_200000000_0_5 5 copy 2  200000000 85.8644
bandwidth_200000000_0_5 5 copy 3  200000000 86.7534
bandwidth_200000000_0_5 5 copy 3  200000000 86.2805
bandwidth_200000000_0_5 5 copy 3  200000000 86.3519
bandwidth_200000000_0_5 5 copy 3  200000000 86.0616
bandwidth_200000000_0_5 5 copy 3  200000000 85.8066
bandwidth_200000000_0_5 5 copy 3  200000000 85.791
bandwidth_200000000_0_5 5 copy 3  200000000 86.174
bandwidth_200000000_0_5 5 copy 3  200000000 86.1643
bandwidth_200000000_0_5 5 copy 3  200000000 85.9705
bandwidth_200000000_0_5 5 copy 3  200000000 86.1961
bandwidth_200000000_0_5 5 copy 4  200000000 86.7503
bandwidth_200000000_0_5 5 copy 4  200000000 86.2868
bandwidth_200000000_0_5 5 copy 4  200000000 86.4538
bandwidth_200000000_0_5 5 copy 4  200000000 85.7452
bandwidth_200000000_0_5 5 copy 4  200000000 86.7327
bandwidth_200000000_0_5 5 copy 4  200000000 86.4191
bandwidth_200000000_0_5 5 copy 4  200000000 86.2597
bandwidth_200000000_0_5 5 copy 4  200000000 86.3973
bandwidth_200000000_0_5 5 copy 4  200000000 85.663
bandwidth_200000000_0_5 5 copy 4  200000000 85.3788
Exp total_cores kernel thread size time-ms
bandwidth_200000000_0_6 6 copy 0  200000000 100.796
bandwidth_200000000_0_6 6 copy 0  200000000 100.562
bandwidth_200000000_0_6 6 copy 0  200000000 99.994
bandwidth_200000000_0_6 6 copy 0  200000000 100.174
bandwidth_200000000_0_6 6 copy 0  200000000 100.52
bandwidth_200000000_0_6 6 copy 0  200000000 100.176
bandwidth_200000000_0_6 6 copy 0  200000000 99.9706
bandwidth_200000000_0_6 6 copy 0  200000000 99.9395
bandwidth_200000000_0_6 6 copy 0  200000000 100.271
bandwidth_200000000_0_6 6 copy 0  200000000 94.3353
bandwidth_200000000_0_6 6 copy 1  200000000 99.2637
bandwidth_200000000_0_6 6 copy 1  200000000 98.5232
bandwidth_200000000_0_6 6 copy 1  200000000 98.5728
bandwidth_200000000_0_6 6 copy 1  200000000 98.992
bandwidth_200000000_0_6 6 copy 1  200000000 98.7533
bandwidth_200000000_0_6 6 copy 1  200000000 98.8464
bandwidth_200000000_0_6 6 copy 1  200000000 98.8581
bandwidth_200000000_0_6 6 copy 1  200000000 98.6419
bandwidth_200000000_0_6 6 copy 1  200000000 98.9842
bandwidth_200000000_0_6 6 copy 1  200000000 98.1181
bandwidth_200000000_0_6 6 copy 2  200000000 99.611
bandwidth_200000000_0_6 6 copy 2  200000000 98.2466
bandwidth_200000000_0_6 6 copy 2  200000000 98.9615
bandwidth_200000000_0_6 6 copy 2  200000000 98.9499
bandwidth_200000000_0_6 6 copy 2  200000000 98.6371
bandwidth_200000000_0_6 6 copy 2  200000000 98.8405
bandwidth_200000000_0_6 6 copy 2  200000000 98.8389
bandwidth_200000000_0_6 6 copy 2  200000000 98.35
bandwidth_200000000_0_6 6 copy 2  200000000 98.6628
bandwidth_200000000_0_6 6 copy 2  200000000 97.5049
bandwidth_200000000_0_6 6 copy 3  200000000 99.0191
bandwidth_200000000_0_6 6 copy 3  200000000 99.0671
bandwidth_200000000_0_6 6 copy 3  200000000 98.3564
bandwidth_200000000_0_6 6 copy 3  200000000 98.4663
bandwidth_200000000_0_6 6 copy 3  200000000 98.4866
bandwidth_200000000_0_6 6 copy 3  200000000 98.2055
bandwidth_200000000_0_6 6 copy 3  200000000 98.925
bandwidth_200000000_0_6 6 copy 3  200000000 98.9492
bandwidth_200000000_0_6 6 copy 3  200000000 98.4389
bandwidth_200000000_0_6 6 copy 3  200000000 99.2048
bandwidth_200000000_0_6 6 copy 4  200000000 99.6054
bandwidth_200000000_0_6 6 copy 4  200000000 98.8035
bandwidth_200000000_0_6 6 copy 4  200000000 98.7785
bandwidth_200000000_0_6 6 copy 4  200000000 99.0012
bandwidth_200000000_0_6 6 copy 4  200000000 97.9237
bandwidth_200000000_0_6 6 copy 4  200000000 98.1781
bandwidth_200000000_0_6 6 copy 4  200000000 98.8524
bandwidth_200000000_0_6 6 copy 4  200000000 98.9117
bandwidth_200000000_0_6 6 copy 4  200000000 98.621
bandwidth_200000000_0_6 6 copy 4  200000000 98.8592
bandwidth_200000000_0_6 6 copy 5  200000000 98.9821
bandwidth_200000000_0_6 6 copy 5  200000000 98.5161
bandwidth_200000000_0_6 6 copy 5  200000000 98.2919
bandwidth_200000000_0_6 6 copy 5  200000000 98.2579
bandwidth_200000000_0_6 6 copy 5  200000000 98.7517
bandwidth_200000000_0_6 6 copy 5  200000000 98.446
bandwidth_200000000_0_6 6 copy 5  200000000 99.1285
bandwidth_200000000_0_6 6 copy 5  200000000 99.4564
bandwidth_200000000_0_6 6 copy 5  200000000 98.3921
bandwidth_200000000_0_6 6 copy 5  200000000 98.4297
Exp total_cores kernel thread size time-ms
bandwidth_200000000_0_7 7 copy 0  200000000 117.534
