Exp blocksize distrib total_cores thread gflops time
dgemm 224 random 16 0  12.5332 1.79486
dgemm 224 random 16 0  16.5089 1.36341
dgemm 224 random 16 0  16.4571 1.3667
dgemm 224 random 16 0  16.3609 1.37571
dgemm 224 random 16 0  16.5251 1.36108
dgemm 224 random 16 0  16.5483 1.35916
dgemm 224 random 16 0  16.3771 1.37335
dgemm 224 random 16 0  16.3663 1.37911
dgemm 224 random 16 0  16.3387 1.37656
dgemm 224 random 16 0  16.5001 1.36318
dgemm 224 random 16 0  16.3404 1.3764
dgemm 224 random 16 0  16.226 1.38614
dgemm 224 random 16 0  16.3298 1.37733
dgemm 224 random 16 0  16.3743 1.37358
dgemm 224 random 16 0  16.2456 1.38444
dgemm 224 random 16 0  16.4042 1.37275
dgemm 224 random 16 0  16.0908 1.39776
dgemm 224 random 16 0  16.1921 1.38901
dgemm 224 random 16 0  16.3769 1.37335
dgemm 224 random 16 0  16.3692 1.37397
dgemm 224 random 16 0  16.1935 1.38889
dgemm 224 random 16 0  16.3557 1.37513
dgemm 224 random 16 0  16.408 1.37076
dgemm 224 random 16 0  16.4224 1.36955
dgemm 224 random 16 0  16.533 1.36037
dgemm 224 random 16 0  16.548 1.35977
dgemm 224 random 16 0  16.4229 1.3701
dgemm 224 random 16 0  16.5529 1.35945
dgemm 224 random 16 0  16.5688 1.35802
dgemm 224 random 16 0  16.0673 1.3998
dgemm 224 random 16 0  16.5327 1.36104
dgemm 224 random 16 0  16.4485 1.37568
dgemm 224 random 16 0  16.2064 1.38782
dgemm 224 random 16 0  16.5407 1.35978
dgemm 224 random 16 0  16.5252 1.36102
dgemm 224 random 16 0  16.3856 1.37266
dgemm 224 random 16 0  16.5077 1.3625
dgemm 224 random 16 0  16.5248 1.36105
dgemm 224 random 16 0  16.363 1.37455
dgemm 224 random 16 0  16.5189 1.36153
dgemm 224 random 16 0  16.3929 1.37198
dgemm 224 random 16 0  16.3443 1.37609
dgemm 224 random 16 0  16.5496 1.35902
dgemm 224 random 16 0  16.4066 1.37087
dgemm 224 random 16 0  16.5401 1.35983
dgemm 224 random 16 0  16.4876 1.36417
dgemm 224 random 16 0  16.4487 1.36735
dgemm 224 random 16 0  16.5496 1.35906
dgemm 224 random 16 0  16.5315 1.3605
dgemm 224 random 16 0  16.3913 1.37216
dgemm 224 random 16 0  16.5208 1.36143
dgemm 224 random 16 0  16.5224 1.36127
dgemm 224 random 16 0  16.3887 1.37235
dgemm 224 random 16 0  16.5457 1.35935
dgemm 224 random 16 0  16.496 1.36344
dgemm 224 random 16 0  16.3875 1.3725
dgemm 224 random 16 0  16.5255 1.36101
dgemm 224 random 16 0  16.5012 1.36315
dgemm 224 random 16 0  16.4004 1.37141
dgemm 224 random 16 0  16.5197 1.36151
dgemm 224 random 16 0  16.4985 1.36325
dgemm 224 random 16 0  16.3462 1.37593
dgemm 224 random 16 0  16.4903 1.36394
dgemm 224 random 16 0  16.452 1.37382
dgemm 224 random 16 0  16.3496 1.37565
dgemm 224 random 16 0  16.5188 1.36158
dgemm 224 random 16 0  16.5348 1.36027
dgemm 224 random 16 0  16.3998 1.37145
dgemm 224 random 16 0  16.5239 1.36116
dgemm 224 random 16 0  16.5341 1.36034
dgemm 224 random 16 0  16.3727 1.3737
dgemm 224 random 16 0  16.5081 1.36245
dgemm 224 random 16 0  16.5146 1.36193
dgemm 224 random 16 0  16.4002 1.37154
dgemm 224 random 16 0  16.5339 1.36038
dgemm 224 random 16 0  16.5203 1.36146
dgemm 224 random 16 0  16.3874 1.37249
dgemm 224 random 16 0  16.5004 1.36313
dgemm 224 random 16 0  16.5463 1.35933
dgemm 224 random 16 0  16.4253 1.36934
dgemm 224 random 16 0  12.6968 1.77119
dgemm 224 random 16 0  16.303 1.37956
dgemm 224 random 16 0  16.5445 1.35946
dgemm 224 random 16 0  16.5032 1.36284
dgemm 224 random 16 0  16.343 1.37617
dgemm 224 random 16 0  16.494 1.36361
dgemm 224 random 16 0  16.5048 1.36275
dgemm 224 random 16 0  16.1695 1.39096
dgemm 224 random 16 0  16.4687 1.36572
dgemm 224 random 16 0  16.4729 1.36537
dgemm 224 random 16 0  16.2234 1.38632
dgemm 224 random 16 0  16.4864 1.36425
dgemm 224 random 16 0  16.5179 1.36163
dgemm 224 random 16 0  16.42 1.36975
dgemm 224 random 16 0  16.5872 1.35593
dgemm 224 random 16 0  16.5798 1.35656
dgemm 224 random 16 0  16.3228 1.37788
dgemm 224 random 16 0  16.5571 1.35775
dgemm 224 random 16 0  16.6096 1.35411
dgemm 224 random 16 0  12.866 1.74788
dgemm 224 random 16 0  16.3498 1.37562
dgemm 224 random 16 0  16.4812 1.36466
dgemm 224 random 16 0  16.515 1.36183
dgemm 224 random 16 0  16.3948 1.37185
dgemm 224 random 16 0  16.5233 1.36119
dgemm 224 random 16 0  16.5341 1.36031
dgemm 224 random 16 0  16.4136 1.37028
dgemm 224 random 16 0  16.5172 1.36167
dgemm 224 random 16 0  16.5485 1.35913
dgemm 224 random 16 0  16.4271 1.36914
dgemm 224 random 16 0  16.5246 1.3611
dgemm 224 random 16 0  16.5456 1.35935
dgemm 224 random 16 0  16.3929 1.372
dgemm 224 random 16 0  16.5204 1.36143
dgemm 224 random 16 0  16.5351 1.36023
dgemm 224 random 16 0  16.4151 1.37014
dgemm 224 random 16 0  16.5356 1.36019
dgemm 224 random 16 0  16.5712 1.35727
dgemm 224 random 16 0  16.4321 1.36874
dgemm 224 random 16 0  16.5669 1.35765
dgemm 224 random 16 0  16.5693 1.35742
dgemm 224 random 16 0  16.438 1.36827
dgemm 224 random 16 0  16.5649 1.35778
dgemm 224 random 16 0  16.5593 1.35819
dgemm 224 random 16 0  16.1992 1.38837
dgemm 224 random 16 0  16.5447 1.35983
dgemm 224 random 16 0  16.5614 1.35805
dgemm 224 random 16 0  16.1684 1.47286
dgemm 224 random 16 0  11.8635 1.89537
dgemm 224 random 16 0  16.2381 1.3851
dgemm 224 random 16 0  12.521 1.79602
dgemm 224 random 16 0  12.1077 1.85729
dgemm 224 random 16 0  16.6134 1.35382
dgemm 224 random 16 0  16.6081 1.35423
dgemm 224 random 16 0  16.4677 1.36574
dgemm 224 random 16 0  16.617 1.35349
dgemm 224 random 16 0  16.6008 1.35485
dgemm 224 random 16 0  16.4796 1.36475
dgemm 224 random 16 0  16.6251 1.35289
dgemm 224 random 16 0  16.6092 1.35416
dgemm 224 random 16 0  16.463 1.36616
dgemm 224 random 16 0  16.3672 1.37418
dgemm 224 random 16 0  16.5554 1.35854
dgemm 224 random 16 0  16.4247 1.36931
dgemm 224 random 16 0  16.3803 1.37309
dgemm 224 random 16 0  16.5918 1.35555
dgemm 224 random 16 0  16.4609 1.36632
dgemm 224 random 16 0  16.5974 1.3551
dgemm 224 random 16 0  16.6112 1.354
dgemm 224 random 16 0  16.4508 1.36717
dgemm 224 random 16 0  16.5978 1.35509
dgemm 224 random 16 0  16.6013 1.35479
dgemm 224 random 16 0  16.4462 1.36755
dgemm 224 random 16 0  16.6192 1.35331
dgemm 224 random 16 0  16.6089 1.35416
dgemm 224 random 16 0  16.1385 1.39361
dgemm 224 random 16 0  16.6055 1.35444
dgemm 224 random 16 0  16.5929 1.35548
dgemm 224 random 16 0  15.8389 1.42003
dgemm 224 random 16 0  16.5726 1.35716
dgemm 224 random 16 0  16.5862 1.35605
dgemm 224 random 16 0  16.429 1.36902
dgemm 224 random 16 0  16.6086 1.35425
