#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 16384 256 128 5 40 595.942153 1516921160778457765 1516921170623129035 0.204335
#Experience summarry : avg : 595.942153 :: std : 0.204335 :: min : 595.712989 :: max : 596.278328 :: median : 595.952703

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 32768 512 128 5 40 701.861039 1516921537968284610 1516921604828861746 0.186722
#Experience summarry : avg : 701.861039 :: std : 0.186722 :: min : 701.678714 :: max : 702.212281 :: median : 701.775785

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 8192 256 128 5 48 580.970987 1516922594622462295 1516922595884412896 1.026768
#Experience summarry : avg : 580.970987 :: std : 1.026768 :: min : 579.536897 :: max : 582.697589 :: median : 580.958637

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 16384 256 128 5 48 700.339289 1516922665160056815 1516922673528153628 0.427724
#Experience summarry : avg : 700.339289 :: std : 0.427724 :: min : 699.575608 :: max : 700.828366 :: median : 700.471169

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 32768 512 128 5 48 831.649966 1516922988595981381 1516923045012031331 0.189148
#Experience summarry : avg : 831.649966 :: std : 0.189148 :: min : 831.421724 :: max : 831.954216 :: median : 831.583264

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 8192 256 128 5 56 607.344755 1516923933998968003 1516923935205878236 1.426219
#Experience summarry : avg : 607.344755 :: std : 1.426219 :: min : 605.541655 :: max : 609.818439 :: median : 607.447685

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 16384 256 128 5 56 790.772049 1516923999608627083 1516924007031430684 0.651715
#Experience summarry : avg : 790.772049 :: std : 0.651715 :: min : 790.078739 :: max : 791.955562 :: median : 790.493136

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 32768 512 128 5 56 953.461088 1516924286048483460 1516924335277606531 0.313700
#Experience summarry : avg : 953.461088 :: std : 0.313700 :: min : 952.985566 :: max : 953.973720 :: median : 953.455950

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 8192 256 128 5 64 579.557729 1516925154245901404 1516925155507100883 1.748697
#Experience summarry : avg : 579.557729 :: std : 1.748697 :: min : 576.926915 :: max : 581.687916 :: median : 578.952924

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 16384 256 128 5 64 856.134893 1516925217108314938 1516925223953580795 0.571803
#Experience summarry : avg : 856.134893 :: std : 0.571803 :: min : 855.164182 :: max : 856.737938 :: median : 856.073858

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 32768 512 128 5 64 1064.703242 1516925476950815435 1516925521039854880 0.404633
#Experience summarry : avg : 1064.703242 :: std : 0.404633 :: min : 1064.088597 :: max : 1065.322531 :: median : 1064.641866

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 8192 256 128 5 4 61.313631 1516934759858936036 1516934771805940075 0.077936
#Experience summarry : avg : 61.313631 :: std : 0.077936 :: min : 61.172025 :: max : 61.398660 :: median : 61.328261

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 16384 256 128 5 4 63.217842 1516935265909580568 1516935358748115255 0.070690
#Experience summarry : avg : 63.217842 :: std : 0.070690 :: min : 63.162656 :: max : 63.354209 :: median : 63.185557

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 32768 512 128 5 4 73.429281 1516938598059521609 1516939237235223861 0.032863
#Experience summarry : avg : 73.429281 :: std : 0.032863 :: min : 73.398666 :: max : 73.482910 :: median : 73.406308

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 8192 256 128 5 8 120.794634 1516943977178131957 1516943983244737173 0.090687
#Experience summarry : avg : 120.794634 :: std : 0.090687 :: min : 120.617281 :: max : 120.868257 :: median : 120.825908

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 16384 256 128 5 8 125.328555 1516944245497913305 1516944292340220728 0.108490
#Experience summarry : avg : 125.328555 :: std : 0.108490 :: min : 125.198762 :: max : 125.490296 :: median : 125.338752

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 32768 512 128 5 8 146.174897 1516945934048199870 1516946254993480370 0.013632
#Experience summarry : avg : 146.174897 :: std : 0.013632 :: min : 146.158770 :: max : 146.199675 :: median : 146.170360

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 8192 256 128 5 12 178.072355 1516949491968473210 1516949496080969358 0.248853
#Experience summarry : avg : 178.072355 :: std : 0.248853 :: min : 177.742809 :: max : 178.346069 :: median : 178.195529

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 16384 256 128 5 12 186.509893 1516949681036967451 1516949712470778727 0.156406
#Experience summarry : avg : 186.509893 :: std : 0.156406 :: min : 186.202329 :: max : 186.639693 :: median : 186.569773

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
