#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 16384 256 128 5 40 595.231382 1516920058203737312 1516920068056648532 0.048367
#Experience summarry : avg : 595.231382 :: std : 0.048367 :: min : 595.146907 :: max : 595.289281 :: median : 595.252057

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 32768 512 128 5 40 712.995922 1516920430206806656 1516920496010544787 0.116419
#Experience summarry : avg : 712.995922 :: std : 0.116419 :: min : 712.814398 :: max : 713.137822 :: median : 712.974312

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 8192 256 128 5 48 581.735063 1516921637477179990 1516921638741188869 2.440174
#Experience summarry : avg : 581.735063 :: std : 2.440174 :: min : 578.729881 :: max : 585.705352 :: median : 581.184830

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 16384 256 128 5 48 701.199050 1516921707885786109 1516921716245778301 0.161544
#Experience summarry : avg : 701.199050 :: std : 0.161544 :: min : 701.032015 :: max : 701.507742 :: median : 701.156967

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 32768 512 128 5 48 847.342709 1516922025910559815 1516922081269499113 0.105461
#Experience summarry : avg : 847.342709 :: std : 0.105461 :: min : 847.152728 :: max : 847.462824 :: median : 847.387283

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 8192 256 128 5 56 608.561179 1516923077411591295 1516923078614857378 3.690255
#Experience summarry : avg : 608.561179 :: std : 3.690255 :: min : 603.646009 :: max : 613.875297 :: median : 609.293428

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 16384 256 128 5 56 796.789829 1516923142733929087 1516923150101082533 0.497143
#Experience summarry : avg : 796.789829 :: std : 0.497143 :: min : 796.046732 :: max : 797.320118 :: median : 796.868794

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 32768 512 128 5 56 976.139464 1516923423385255064 1516923471464198965 0.294709
#Experience summarry : avg : 976.139464 :: std : 0.294709 :: min : 975.783569 :: max : 976.627112 :: median : 976.125812

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 8192 256 128 5 64 595.721669 1516924367775878157 1516924369012224055 2.916015
#Experience summarry : avg : 595.721669 :: std : 2.916015 :: min : 592.990962 :: max : 601.356545 :: median : 594.916152

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 16384 256 128 5 64 864.036882 1516924430264027943 1516924437056776140 1.444332
#Experience summarry : avg : 864.036882 :: std : 1.444332 :: min : 862.987756 :: max : 866.832411 :: median : 863.361777

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 32768 512 128 5 64 1098.026119 1516924683445862378 1516924726170205463 0.340292
#Experience summarry : avg : 1098.026119 :: std : 0.340292 :: min : 1097.581368 :: max : 1098.538411 :: median : 1098.077568

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 8192 256 128 5 4 61.291656 1516925607939295790 1516925619908993098 0.021163
#Experience summarry : avg : 61.291656 :: std : 0.021163 :: min : 61.249834 :: max : 61.306208 :: median : 61.299202

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 16384 256 128 5 4 62.979709 1516926115907041510 1516926208978471380 0.017130
#Experience summarry : avg : 62.979709 :: std : 0.017130 :: min : 62.961013 :: max : 63.011806 :: median : 62.975362

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 32768 512 128 5 4 73.540443 1516929444011222744 1516930081972392052 0.003190
#Experience summarry : avg : 73.540443 :: std : 0.003190 :: min : 73.535361 :: max : 73.543646 :: median : 73.541189

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
