Exp runtime size blocksize iterations threads gflops start end std
dpotrf_taskdep libkomp 32768 512 5 88 1812.034363 1516816363771891117 1516816370263589169 6.355423
dpotrf_taskdep libkomp 8192 256 5 80 1092.926088 1516816662192778938 1516816662362277814 21.293262
dpotrf_taskdep libkomp 16384 256 5 80 1519.172128 1516816694254841143 1516816695219118862 7.391897
dpotrf_taskdep libkomp 32768 512 5 80 1672.851973 1516816762555384608 1516816769583007685 5.078850
dpotrf_taskdep libkomp 8192 256 5 72 1006.223353 1516817068673320659 1516817068860455106 16.732331
dpotrf_taskdep libkomp 16384 256 5 72 1388.839861 1516817101238194600 1516817102292790920 6.363308
dpotrf_taskdep libkomp 32768 512 5 72 1520.696578 1516817173140113071 1516817180827875325 3.607333
dpotrf_taskdep libkomp 8192 256 5 24 459.235638 1516817490525468043 1516817490925219182 2.018035
dpotrf_taskdep libkomp 16384 256 5 24 491.131513 1516817533179589486 1516817536162231034 0.557044
dpotrf_taskdep libkomp 32768 512 5 24 531.136158 1516817680283238227 1516817702364299326 0.326085
dpotrf_taskdep libkomp 8192 256 5 32 591.775236 1516818212923342418 1516818213232303580 3.739914
dpotrf_taskdep libkomp 16384 256 5 32 649.982215 1516818251677116463 1516818253932517379 0.503673
dpotrf_taskdep libkomp 32768 512 5 32 704.769961 1516818370301325941 1516818386946357343 0.338365
dpotrf_taskdep libkomp 8192 256 5 40 708.809018 1516818821561549554 1516818821825282893 7.940288
dpotrf_taskdep libkomp 16384 256 5 40 806.240505 1516818858059158201 1516818859877530299 0.719029
dpotrf_taskdep libkomp 32768 512 5 40 876.111792 1516818959896612297 1516818973293609404 0.646849
dpotrf_taskdep libkomp 8192 256 5 48 801.281944 1516819361806955546 1516819362032383601 12.789457
dpotrf_taskdep libkomp 16384 256 5 48 958.685853 1516819396878133824 1516819398408063740 0.979866
dpotrf_taskdep libkomp 32768 512 5 48 1043.893922 1516819487256642376 1516819498512039079 1.202632
dpotrf_taskdep libkomp 8192 256 5 56 896.779702 1516819856223962414 1516819856425110521 8.111401
dpotrf_taskdep libkomp 16384 256 5 56 1108.204497 1516819890235380789 1516819891561225314 4.632696
dpotrf_taskdep libkomp 32768 512 5 56 1209.137797 1516819972418713230 1516819982124927717 1.372283
